TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
569	471	567	567	568	569	1	1	2	0
568	380	464	464	465	558	93	1	94	10
566	378	462	462	463	557	94	1	95	9
565	457	549	549	550	551	1	1	2	14
559	451	543	543	544	545	1	1	2	14
559	440	534	534	535	536	1	1	2	23
558	372	453	453	454	545	91	1	92	13
558	448	542	542	543	544	1	1	2	14
557	464	555	555	556	557	1	1	2	0
557	371	451	451	452	543	91	1	92	14
556	461	554	554	555	556	1	1	2	0
555	460	553	553	554	555	1	1	2	0
555	377	460	460	461	549	88	1	89	6
555	450	542	542	543	544	1	1	2	11
551	375	457	457	458	546	88	1	89	5
549	455	547	547	548	549	1	1	2	0
547	364	447	447	448	536	88	1	89	11
547	438	532	532	533	534	1	1	2	13
546	439	533	533	534	535	1	1	2	11
546	437	531	531	532	533	1	1	2	13
546	359	443	443	444	531	87	1	88	15
544	427	521	521	522	523	1	1	2	21
544	426	520	520	521	522	1	1	2	22
543	369	450	450	451	537	86	1	87	6
542	432	524	524	525	526	1	1	2	16
540	428	522	522	523	524	1	1	2	16
538	360	444	444	445	533	88	1	89	5
535	356	439	439	440	524	84	1	85	11
535	422	514	514	515	516	1	1	2	19
533	436	531	531	532	533	1	1	2	0
532	435	530	530	531	532	1	1	2	0
532	357	439	439	440	522	82	1	83	10
530	416	507	507	508	509	1	1	2	21
529	352	431	431	432	513	81	1	82	16
526	431	524	524	525	526	1	1	2	0
526	354	437	437	438	515	77	1	78	11
521	351	431	431	432	512	80	1	81	9
521	418	509	509	510	511	1	1	2	10
519	346	424	424	425	505	80	1	81	14
518	412	503	503	504	505	1	1	2	13
517	424	515	515	516	517	1	1	2	0
516	350	430	430	431	509	78	1	79	7
515	410	500	500	501	502	1	1	2	13
515	339	416	416	417	499	82	1	83	16
515	409	496	496	497	498	1	1	2	17
513	348	426	426	427	507	80	1	81	6
512	419	510	510	511	512	1	1	2	0
508	336	415	415	416	494	78	1	79	14
508	331	411	411	412	492	80	1	81	16
507	414	505	505	506	507	1	1	2	0
507	413	505	505	506	507	1	1	2	0
506	343	420	420	421	500	79	1	80	6
505	391	477	477	478	479	1	1	2	26
504	335	413	413	414	493	79	1	80	11
504	399	488	488	489	490	1	1	2	14
503	341	418	418	419	499	80	1	81	4
503	328	409	409	410	488	78	1	79	15
501	333	413	413	414	493	79	1	80	8
500	398	485	485	486	487	1	1	2	13
500	394	480	480	481	482	1	1	2	18
498	329	409	409	410	491	81	1	82	7
494	405	492	492	493	494	1	1	2	0
494	379	464	464	465	466	1	1	2	28
492	401	490	490	491	492	1	1	2	0
491	327	407	407	408	483	75	1	76	8
490	400	488	488	489	490	1	1	2	0
488	323	402	402	403	477	74	1	75	11
487	326	405	405	406	482	76	1	77	5
487	387	472	472	473	474	1	1	2	13
487	322	401	401	402	474	72	1	73	13
486	318	391	391	392	471	79	1	80	15
484	396	482	482	483	484	1	1	2	0
483	320	394	394	395	472	77	1	78	11
482	393	480	480	481	482	1	1	2	0
481	312	388	388	389	469	80	1	81	12
481	376	459	459	460	461	1	1	2	20
479	373	454	454	455	456	1	1	2	23
478	311	386	386	387	468	81	1	82	10
477	390	475	475	476	477	1	1	2	0
477	370	451	451	452	453	1	1	2	24
476	388	474	474	475	476	1	1	2	0
476	314	389	389	390	469	79	1	80	7
474	309	382	382	383	468	85	1	86	6
474	368	450	450	451	452	1	1	2	22
473	385	471	471	472	473	1	1	2	0
473	374	456	456	457	458	1	1	2	15
470	361	445	445	446	447	1	1	2	23
469	306	380	380	381	464	83	1	84	5
467	362	447	447	448	449	1	1	2	18
466	365	447	447	448	449	1	1	2	17
465	367	450	450	451	452	1	1	2	13
464	307	380	380	381	456	75	1	76	8
464	294	364	364	365	451	86	1	87	13
463	302	375	375	376	455	79	1	80	8
461	301	373	373	374	453	79	1	80	8
460	298	369	369	370	452	82	1	83	8
460	363	447	447	448	449	1	1	2	11
458	293	362	362	363	448	85	1	86	10
456	358	441	441	442	443	1	1	2	13
448	288	354	354	355	439	84	1	85	9
447	342	420	420	421	422	1	1	2	25
446	344	422	422	423	424	1	1	2	22
445	287	354	354	355	435	80	1	81	10
444	291	359	359	360	440	80	1	81	4
442	285	351	351	352	432	80	1	81	10
440	334	413	413	414	415	1	1	2	25
439	355	437	437	438	439	1	1	2	0
439	337	416	416	417	418	1	1	2	21
437	340	417	417	418	419	1	1	2	18
436	345	423	423	424	425	1	1	2	11
434	325	404	404	405	406	1	1	2	28
433	353	431	431	432	433	1	1	2	0
433	284	349	349	350	426	76	1	77	7
433	330	410	410	411	412	1	1	2	21
430	349	428	428	429	430	1	1	2	0
429	280	344	344	345	423	78	1	79	6
427	321	397	397	398	399	1	1	2	28
426	347	424	424	425	426	1	1	2	0
425	275	337	337	338	411	73	1	74	14
425	324	403	403	404	405	1	1	2	20
424	277	340	340	341	413	72	1	73	11
423	274	336	336	337	409	72	1	73	14
421	319	392	392	393	394	1	1	2	27
418	338	416	416	417	418	1	1	2	0
414	332	412	412	413	414	1	1	2	0
414	316	391	391	392	393	1	1	2	21
413	267	327	327	328	400	72	1	73	13
411	266	326	326	327	399	72	1	73	12
409	315	389	389	390	391	1	1	2	18
408	272	333	333	334	403	69	1	70	5
407	317	391	391	392	393	1	1	2	14
407	313	388	388	389	390	1	1	2	17
405	263	322	322	323	399	76	1	77	6
403	310	384	384	385	386	1	1	2	17
401	260	320	320	321	393	72	1	73	8
401	300	371	371	372	373	1	1	2	28
399	308	380	380	381	382	1	1	2	17
398	258	318	318	319	388	69	1	70	10
393	256	316	316	317	386	69	1	70	7
392	299	369	369	370	371	1	1	2	21
391	257	316	316	317	383	66	1	67	8
391	255	315	315	316	382	66	1	67	9
391	252	311	311	312	379	67	1	68	12
388	254	314	314	315	379	64	1	65	9
388	303	375	375	376	377	1	1	2	11
387	290	357	357	358	359	1	1	2	28
385	251	310	310	311	371	60	1	61	14
384	296	367	367	368	369	1	1	2	15
383	248	310	310	311	371	60	1	61	12
383	295	365	365	366	367	1	1	2	16
380	305	378	378	379	380	1	1	2	0
379	240	303	303	304	365	61	1	62	14
378	304	376	376	377	378	1	1	2	0
377	283	347	347	348	349	1	1	2	28
373	239	301	301	302	358	56	1	57	15
372	241	303	303	304	365	61	1	62	7
372	236	295	295	296	358	62	1	63	14
371	297	369	369	370	371	1	1	2	0
371	281	344	344	345	346	1	1	2	25
370	237	297	297	298	358	60	1	61	12
367	234	293	293	294	351	57	1	58	16
365	235	294	294	295	354	59	1	60	11
365	232	292	292	293	351	58	1	59	14
364	278	342	342	343	344	1	1	2	20
363	292	361	361	362	363	1	1	2	0
359	226	283	283	284	348	64	1	65	11
359	282	345	345	346	347	1	1	2	12
359	224	282	282	283	347	64	1	65	12
359	271	333	333	334	335	1	1	2	24
357	276	339	339	340	341	1	1	2	16
357	273	334	334	335	336	1	1	2	21
357	269	329	329	330	331	1	1	2	26
354	286	352	352	353	354	1	1	2	0
353	229	286	286	287	348	61	1	62	5
352	270	331	331	332	333	1	1	2	19
351	223	282	282	283	345	62	1	63	6
351	220	279	279	280	344	64	1	65	7
350	204	250	250	251	335	84	1	85	15
350	268	329	329	330	331	1	1	2	19
349	203	248	248	249	333	84	1	85	16
347	210	261	261	262	336	74	1	75	11
345	212	261	261	262	339	77	1	78	6
344	279	342	342	343	344	1	1	2	0
344	261	322	322	323	324	1	1	2	20
344	259	320	320	321	322	1	1	2	22
341	196	236	236	237	328	91	1	92	13
338	197	238	238	239	328	89	1	90	10
338	249	310	310	311	312	1	1	2	26
337	202	246	246	247	329	82	1	83	8
337	195	236	236	237	326	89	1	90	11
336	253	313	313	314	315	1	1	2	21
334	194	236	236	237	324	87	1	88	10
332	193	236	236	237	317	80	1	81	15
330	238	300	300	301	302	1	1	2	28
328	265	326	326	327	328	1	1	2	0
326	264	324	324	325	326	1	1	2	0
326	245	308	308	309	310	1	1	2	16
324	262	322	322	323	324	1	1	2	0
324	192	235	235	236	315	79	1	80	9
321	243	308	308	309	310	1	1	2	11
316	191	231	231	232	306	74	1	75	10
316	188	228	228	229	304	75	1	76	12
314	187	228	228	229	299	70	1	71	15
314	231	289	289	290	291	1	1	2	23
312	250	310	310	311	312	1	1	2	0
311	222	282	282	283	284	1	1	2	27
310	246	308	308	309	310	1	1	2	0
310	244	308	308	309	310	1	1	2	0
309	242	307	307	308	309	1	1	2	0
305	228	284	284	285	286	1	1	2	19
305	227	283	283	284	285	1	1	2	20
303	225	283	283	284	285	1	1	2	18
301	182	221	221	222	285	63	1	64	16
300	181	221	221	222	285	63	1	64	15
294	233	292	292	293	294	1	1	2	0
294	177	217	217	218	282	64	1	65	12
292	215	270	270	271	272	1	1	2	20
291	180	220	220	221	283	62	1	63	8
